Feature,Docs,Goal,Logs,Owner,Status,Target Release,Tasks
Onboarding Experience (Cesta Strážcu),,"Pohlcujúci onboarding so Sofiou, 3D prvkami a quick‑win hodnotou",,,Idea,,
Emergency Activation System,,Automatická detekcia krízových stavov a postupná eskalácia prístupov,,,Idea,,
Smart Document Import (Gmail),,Bezpečný hromadný import príloh z Gmailu s AI rozpoznaním a kategorizáciou,,,Idea,,
Trust Seal (úrovne dôvery),,Viditeľná pečať dôvery s automatickými upgradmi podľa úrovne kontroly,,,Idea,,
Sprievodca poslednou vôľou (Will Generator),,"Prémiový tvorca závetu s návrhom na 1 klik, živým náhľadom a právnou validáciou",,,Idea,,
Kruh dôvery (Guardian Network),,"Role‑based prístupy pre strážcov, granularita práv, pozvánky, podmienky prístupu",,,Idea,,
"Mobile & PWA (widgety, offline, push)",,"Mobil‑first funkcionalita s PWA, widgetmi a offline prístupom",,,Idea,,
Video Messages (Time Capsules),,Nahrávanie a plánované doručenie video/audio odkazov pre blízkych,,,Idea,,
Sofia AI (multijazyčný osobný asistent),,"Proaktívna, kontextovo uvedomelá pomoc v 33+ jazykoch s odporúčaniami a akciami",,,Idea,,
Moja rodina (Family Tree + roly),,Centrálna správa osôb s interaktívnym rodokmeňom a rolami,,,Idea,,
Analytics & Insights (Family Protection Analytics),,"Pokročilé metriky, skórovanie ochrany a AI odporúčania",,,Idea,,
Professional Network (Marketplace právnikov),,"Kurátorovaná sieť právnikov s onboardingom, matchingom a rezerváciami",,,Idea,,
"Family Collaboration (pozvania, roly, kalendár, míľniky)",,Rozšírená rodinná spolupráca s míľnikmi a spoločným kalendárom,,,Idea,,
Životná knižnica (AI Document Management),,"AI analýza dokumentov, kategorizácia, extrakcia metadát, expiračný monitoring, smart suggestions",,,Idea,,
